iter	Passed	Remaining
0	105	52851
1	117	29270
2	124	20600
3	170	21122
4	197	19509
5	200	16513
6	202	14274
7	210	12925
8	217	11880
9	232	11368
10	241	10732
11	248	10113
12	255	9555
13	261	9064
14	264	8547
15	267	8093
16	284	8083
17	295	7909
18	300	7619
19	308	7412
20	319	7276
21	339	7383
22	355	7366
23	368	7303
24	399	7590
25	406	7418
26	412	7232
27	420	7084
28	445	7233
29	447	7014
30	456	6912
31	463	6780
32	467	6612
33	492	6752
34	508	6760
35	518	6687
36	555	6947
37	559	6796
38	589	6966
39	597	6868
40	599	6715
41	615	6707
42	625	6644
43	651	6751
44	658	6659
45	664	6560
46	677	6532
47	697	6564
48	709	6531
49	717	6455
50	731	6444
51	754	6497
52	763	6442
53	786	6500
54	790	6396
55	807	6401
56	823	6398
57	846	6454
58	863	6456
59	889	6524
60	895	6443
61	908	6414
62	946	6568
63	953	6494
64	962	6438
65	988	6497
66	994	6424
67	1023	6503
68	1033	6453
69	1065	6544
70	1069	6462
71	1071	6371
72	1087	6358
73	1116	6424
74	1127	6389
75	1133	6325
76	1161	6380
77	1188	6427
78	1231	6560
79	1259	6611
80	1261	6524
81	1267	6459
82	1268	6374
83	1279	6335
84	1281	6257
85	1283	6179
86	1294	6146
87	1301	6092
88	1313	6067
89	1321	6021
90	1327	5966
91	1333	5913
92	1353	5922
93	1360	5877
94	1366	5825
95	1370	5767
96	1379	5730
97	1383	5674
98	1385	5611
99	1403	5614
100	1413	5583
101	1415	5522
102	1417	5462
103	1426	5430
104	1431	5386
105	1471	5468
106	1489	5472
107	1501	5448
108	1505	5401
109	1512	5363
110	1516	5313
111	1523	5277
112	1529	5237
113	1553	5260
114	1560	5225
115	1578	5223
116	1580	5172
117	1584	5130
118	1593	5103
119	1603	5078
120	1605	5027
121	1609	4986
122	1611	4937
123	1617	4905
124	1620	4862
125	1623	4818
126	1629	4786
127	1638	4762
128	1641	4719
129	1644	4681
130	1647	4641
131	1654	4613
132	1660	4581
133	1667	4553
134	1669	4514
135	1671	4473
136	1676	4442
137	1687	4427
138	1690	4390
139	1699	4369
140	1706	4345
141	1715	4324
142	1717	4287
143	1720	4254
144	1733	4244
145	1746	4235
146	1753	4210
147	1756	4178
148	1769	4167
149	1779	4152
150	1782	4119
151	1785	4088
152	1793	4068
153	1801	4046
154	1807	4022
155	1814	4001
156	1820	3977
157	1841	3986
158	1849	3966
159	1850	3932
160	1856	3909
161	1863	3888
162	1869	3866
163	1872	3835
164	1879	3816
165	1883	3789
166	1886	3762
167	1899	3753
168	1907	3736
169	1909	3706
170	1912	3679
171	1915	3653
172	1919	3628
173	1942	3638
174	1945	3613
175	1949	3588
176	1951	3560
177	1955	3537
178	1968	3529
179	1969	3501
180	1979	3489
181	1985	3468
182	1988	3444
183	1997	3429
184	2004	3413
185	2008	3391
186	2012	3367
187	2015	3344
188	2032	3344
189	2034	3319
190	2041	3302
191	2045	3280
192	2047	3256
193	2048	3230
194	2058	3220
195	2062	3199
196	2064	3176
197	2068	3155
198	2073	3136
199	2078	3118
200	2094	3115
201	2097	3093
202	2101	3073
203	2110	3062
204	2113	3042
205	2117	3021
206	2138	3027
207	2145	3011
208	2148	2992
209	2153	2974
210	2156	2954
211	2162	2937
212	2165	2917
213	2186	2922
214	2188	2901
215	2194	2884
216	2197	2865
217	2198	2844
218	2205	2829
219	2210	2813
220	2238	2826
221	2240	2805
222	2243	2787
223	2252	2775
224	2254	2755
225	2258	2737
226	2276	2737
227	2286	2727
228	2293	2713
229	2302	2702
230	2310	2690
231	2339	2702
232	2341	2683
233	2354	2676
234	2387	2692
235	2504	2802
236	2506	2781
237	2508	2761
238	2534	2767
239	2536	2747
240	2539	2729
241	2553	2722
242	2572	2721
243	2574	2701
244	2580	2685
245	2587	2671
246	2592	2655
247	2599	2641
248	2601	2621
249	2604	2604
250	2621	2600
251	2625	2583
252	2633	2570
253	2634	2551
254	2636	2533
255	2642	2518
256	2653	2508
257	2670	2505
258	2683	2497
259	2691	2484
260	2698	2471
261	2727	2478
262	2730	2460
263	2748	2457
264	2754	2442
265	2780	2446
266	2786	2431
267	2787	2413
268	2789	2395
269	2791	2378
270	2800	2366
271	2802	2349
272	2827	2351
273	2829	2333
274	2830	2316
275	2838	2303
276	2847	2292
277	2853	2278
278	2878	2280
279	2881	2264
280	2889	2252
281	2892	2235
282	2895	2220
283	2901	2207
284	2933	2212
285	2944	2203
286	2952	2191
287	2965	2182
288	2973	2171
289	2990	2165
290	2998	2153
291	3027	2156
292	3030	2140
293	3041	2130
294	3046	2116
295	3048	2101
296	3060	2091
297	3067	2079
298	3078	2069
299	3085	2057
300	3090	2043
301	3096	2030
302	3108	2020
303	3117	2009
304	3124	1997
305	3125	1981
306	3127	1966
307	3129	1950
308	3133	1936
309	3138	1923
310	3146	1912
311	3149	1897
312	3154	1884
313	3156	1869
314	3158	1854
315	3168	1845
316	3171	1830
317	3174	1817
318	3184	1806
319	3191	1795
320	3193	1780
321	3214	1777
322	3221	1765
323	3223	1750
324	3224	1736
325	3237	1728
326	3239	1714
327	3241	1699
328	3250	1689
329	3253	1675
330	3256	1662
331	3260	1649
332	3270	1639
333	3277	1629
334	3284	1617
335	3289	1605
336	3293	1592
337	3305	1584
338	3312	1573
339	3314	1559
340	3320	1548
341	3323	1535
342	3325	1522
343	3344	1516
344	3347	1503
345	3348	1490
346	3351	1477
347	3362	1468
348	3364	1455
349	3372	1445
350	3378	1434
351	3385	1423
352	3386	1410
353	3399	1401
354	3409	1392
355	3419	1383
356	3442	1378
357	3444	1366
358	3456	1357
359	3458	1344
360	3459	1332
361	3467	1321
362	3471	1310
363	3474	1298
364	3480	1287
365	3481	1274
366	3485	1263
367	3487	1250
368	3489	1238
369	3501	1230
370	3511	1220
371	3512	1208
372	3516	1197
373	3521	1186
374	3525	1175
375	3527	1163
376	3536	1153
377	3540	1142
378	3541	1130
379	3553	1122
380	3558	1111
381	3568	1102
382	3570	1090
383	3577	1080
384	3585	1070
385	3587	1059
386	3598	1050
387	3613	1043
388	3615	1031
389	3617	1020
390	3633	1012
391	3636	1001
392	3642	991
393	3650	982
394	3667	974
395	3676	965
396	3678	954
397	3682	943
398	3704	937
399	3706	926
400	3708	915
401	3710	904
402	3712	893
403	3717	883
404	3721	872
405	3725	862
406	3726	851
407	3732	841
408	3736	831
409	3739	820
410	3749	811
411	3757	802
412	3758	791
413	3765	782
414	3767	771
415	3771	761
416	3773	751
417	3775	740
418	3777	730
419	3786	721
420	3788	710
421	3794	701
422	3798	691
423	3800	681
424	3804	671
425	3806	661
426	3812	651
427	3824	643
428	3832	634
429	3849	626
430	3855	617
431	3867	608
432	3869	598
433	3874	589
434	3876	579
435	3878	569
436	3887	560
437	3893	551
438	3900	542
439	3903	532
440	3905	522
441	3910	513
442	3917	504
443	3920	494
444	3921	484
445	3924	475
446	3929	465
447	3930	456
448	3932	446
449	3935	437
450	3940	428
451	3950	419
452	3956	410
453	3961	401
454	3964	392
455	3967	382
456	3972	373
457	3975	364
458	3986	356
459	3988	346
460	4001	338
461	4007	329
462	4020	321
463	4026	312
464	4029	303
465	4037	294
466	4047	286
467	4049	276
468	4054	267
469	4061	259
470	4067	250
471	4071	241
472	4074	232
473	4080	223
474	4086	215
475	4088	206
476	4093	197
477	4097	188
478	4099	179
479	4101	170
480	4102	162
481	4105	153
482	4110	144
483	4116	136
484	4122	127
485	4123	118
486	4124	110
487	4134	101
488	4138	93
489	4144	84
490	4145	75
491	4147	67
492	4158	59
493	4164	50
494	4168	42
495	4169	33
496	4194	25
497	4201	16
498	4208	8
499	4210	0
