meta_data,meta_data,label,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features,text_features
review_id,group_sender_answer_reviews,proportion,topic_facilities_positive,topic_price_negative,topic_price_positive,topic_design_positive,topic_location_positive,topic_room_positive,topic_staff_positive,topic_food_positive,topic_metro_positive,topic_bathroom_positive,topic_view_positive,topic_staff_negative,topic_bathroom_negative,topic_room_negative,topic_food_negative,topic_location_negative,topic_facilities_negative,topic_air_negative,use_negative_dot,use_negative_nothing_to_dislike,use_positive_dot,use_positive_nothing,detailed,list,positive_buttom_line_recommendation,negative_buttom_line_recommendation,positive_first,use_extreme_positive_words_1,use_extreme_positive_words_2,use_extreme_positive_words_3,use_extreme_negative_words_1,use_extreme_negative_words_2,use_extreme_negative_words_3,positive_negative_len_prop_1,positive_negative_len_prop_2,positive_len_1,positive_len_2,negative_len_1,negative_len_2
10_train_data,Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.,0.625,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
11_train_data,Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.,0.6666666666666666,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1
21_train_data,Positive: Last floor with amazing views. Negative: We supposed to have SPA included in the price. Thats why we have choosen that offer with terrace so we can have SPA access. When we arrived to the hotel we have been told that the offer have changed so we need to pay each time when we want to enter spa for the price which we have payed for our stay conditions were not to good.Positive: Last floor with amazing views. Negative: We supposed to have SPA included in the price. Thats why we have choosen that offer with terrace so we can have SPA access. When we arrived to the hotel we have been told that the offer have changed so we need to pay each time when we want to enter spa for the price which we have payed for our stay conditions were not to good.Positive: Last floor with amazing views. Negative: We supposed to have SPA included in the price. Thats why we have choosen that offer with terrace so we can have SPA access. When we arrived to the hotel we have been told that the offer have changed so we need to pay each time when we want to enter spa for the price which we have payed for our stay conditions were not to good.,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1
30_train_data,Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment. Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again.Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment. Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again.Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment. Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again.Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment. Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again.Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment. Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again.Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment. Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again.,0.8333333333333334,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
31_train_data,Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again. Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment.,0.9565217391304348,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1
40_train_data,Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel. Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro.Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel. Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro.Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel. Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro.Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel. Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro.Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel. Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro.,0.4,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0
41_train_data,Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro. Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel.,0.6363636363636364,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0
50_train_data,"Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently. Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.",0.6,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
51_train_data,"Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station. Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently.",0.9,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0
